chunk_key,bias_mean_kms,bias_rms_kms,n,bootstrap_mean_kms,bootstrap_std_kms
47_4,-0.20428655798185763,0.21036833156274123,77,-0.2790008193533115,0.04477372888852425
47_5,0.11615122178969814,0.19950929622299823,30,-0.08965631600436458,0.06881987215432048
47_6,0.3601439276764463,0.19100514122532677,28,0.5438609785721349,0.07408021001651971
47_7,0.6472200595006914,0.15872716692079944,12,0.6530619320024451,0.11832665334047085
48_0,-1.175362752637898,0.5737120489943106,7,-0.6032993436931208,0.360741201422222
48_1,-0.2441326700832007,0.20331819127657252,111,-0.2417304478804162,0.03577357616389642
48_2,-0.029701392580536112,0.28375704860766493,99,-0.009252373079516592,0.04269450138133369
48_3,-0.0531062396565069,0.23028170318818622,92,-0.07897761905274504,0.039366294810521785
48_4,0.22713771923625298,0.2710432819963467,93,0.20146561225083903,0.04055465917260941
48_5,0.3345806254079731,0.31878914788436763,67,0.2565134792532055,0.06376635142140123
48_6,0.2629357019182974,0.21302024757898844,92,0.3619574282008812,0.03891390117903284
48_7,-0.38583908180729437,0.3366588055247172,44,-0.23089377942866549,0.09765671671302614
49_0,-1.0630108058771668,0.3138197048054767,54,-0.8648499954146177,0.06961177664137579
49_1,-0.2423900405871796,0.18646088669814914,103,-0.15239508984322359,0.03359790177505428
49_2,-0.21060714754157614,0.17450567058695216,34,-0.2337376212905825,0.08323015396641117
49_3,-0.3058510144372968,0.22321170844587782,81,-0.4739156939983023,0.05287458785220676
49_4,-0.25130935663196957,0.4370534255987984,87,-0.5273303120094698,0.05182969195606052
49_5,0.3738094968735624,0.3746205105831351,32,0.20174236637718998,0.11188710543782161
49_6,0.37704237102236043,0.295677946283577,44,0.19719204975940616,0.07922102887592085
49_7,-0.418686333557463,0.2174548309419322,57,-0.3770179038330131,0.0561608091933779
4_1,-0.0046143854818300025,0.42335354916257983,4,-0.08019220743931556,0.35084158644012914
4_4,0.1052571612878399,0.0,1,0.1052571612878399,0.0
