# chunk_key bias_dv bias_err_stat bias_rms_stat
41_1 -1.01260473 0.00634094 0.19487457
41_2 -0.23043484 0.00819168 0.31490029
41_3 0.62116752 0.01048467 0.31117530
41_4 -0.47088160 0.00991580 0.42117400
41_5 0.47327300 0.00576801 0.15732469
41_6 -0.14199790 0.01781580 0.37431542
41_7 0.65212534 0.00951221 0.16647686
42_1 -1.16508113 0.00981891 0.21828332
42_2 -0.34668237 0.00801319 0.15443176
42_3 -0.05760008 0.00603252 0.20773189
42_4 0.72944180 0.01219096 0.39996394
42_5 0.87184009 0.00597765 0.25669988
42_6 0.52903170 0.00639951 0.15073032
42_7 0.48178244 0.01592443 0.17394368
43_1 -1.13837631 0.05544232 0.19264838
43_2 -0.71813847 0.01505083 0.19730939
43_3 -0.05135501 0.00605940 0.14963281
43_4 -0.25341324 0.01057866 0.28716297
43_5 0.10444240 0.02365446 0.31114788
43_6 0.56627259 0.00617860 0.17171742
43_7 1.21486177 0.01507016 0.26803661
44_0 -1.02137664 0.11562582 0.40970589
44_1 0.04756429 0.02911499 0.40493127
44_2 0.05244478 0.00981252 0.29827445
44_3 0.54232930 0.04009887 0.28096797
44_4 1.03449809 0.02234219 0.16647697
44_5 -0.37937810 0.01697496 0.43361252
44_6 0.33935807 0.00492805 0.21708588
44_7 0.16586979 0.01151783 0.16655370
45_0 -1.55259055 0.06202321 0.39536305
45_1 0.50387859 0.05314420 0.43870227
46_6 0.93522097 0.00735707 0.22473029
46_7 0.45119692 0.00714145 0.27579824
47_0 -0.94763058 0.00802903 0.18602463
47_1 -0.07028527 0.00766778 0.24089824
47_2 -0.10840186 0.01508991 0.18374637
47_3 -0.22169084 0.01218033 0.24958636
47_4 -0.20428656 0.00774825 0.21036833
47_5 0.11615122 0.01051711 0.19950930
47_6 0.36014393 0.00722682 0.19100514
47_7 0.64722006 0.02239423 0.15872717
48_0 -1.17536275 0.04423872 0.57371205
48_1 -0.24413267 0.00643404 0.20331819
48_2 -0.02970139 0.00768541 0.28375705
48_3 -0.05310624 0.00533996 0.23028170
48_4 0.22713772 0.00633907 0.27104328
48_5 0.33458063 0.00764354 0.31878915
48_6 0.26293570 0.00439332 0.21302025
48_7 -0.38583908 0.00891291 0.33665881
49_0 -1.06301081 0.01376908 0.31381970
49_1 -0.24239004 0.00642052 0.18646089
49_2 -0.21060715 0.00929320 0.17450567
49_3 -0.30585101 0.00602809 0.22321171
49_4 -0.25130936 0.00679106 0.43705343
49_5 0.37380950 0.01379866 0.37462051
49_6 0.37704237 0.00799026 0.29567795
49_7 -0.41868633 0.00694691 0.21745483
50_0 -1.32842194 0.01905825 0.31937290
50_7 -0.72320126 0.01338151 0.23116761
51_0 -0.46564107 0.01641282 0.23801873
51_1 -0.57488518 0.00931744 0.27442724
51_2 0.49442436 0.19294218 0.52071788
51_3 -0.42696922 0.03185425 0.34031576
51_4 0.28724859 0.00657870 0.20196596
51_5 0.59782308 0.00598732 0.23345026
51_6 0.50753906 0.00720522 0.32454645
51_7 -1.58313486 0.17590108 0.00000000
52_0 -0.93508951 0.04989518 0.44830696
52_1 -0.19354182 0.00773640 0.24360175
54_1 -0.52835054 0.01708595 0.34227061
54_2 -0.31107586 0.00799452 0.24658830
54_3 -0.52016518 0.02239121 0.39078216
54_4 -0.19933843 0.03095645 0.23194716
54_5 -0.04571789 0.00768623 0.23775038
54_6 0.89642360 0.01760794 0.27748511
54_7 0.64863822 0.01276436 0.17009348
55_0 -1.64588453 0.32011400 0.00000000
55_1 -1.03623642 0.01186865 0.29486528
55_2 -0.41372055 0.01189689 0.13087890
55_3 -0.42617319 0.01091011 0.25167862
55_4 -0.04474893 0.00782874 0.20461033
55_5 0.65824121 0.14495412 0.61460756
55_6 0.07109719 0.07962644 0.69264946
55_7 -0.86622378 0.06739645 0.36128612
56_0 -0.79561128 0.02656385 0.39574122
56_1 -1.22037012 0.02526028 0.17128420
56_2 -0.96452130 0.01674993 0.23954757
56_3 -0.27681777 0.01453253 0.24325033
61_5 0.37062696 0.00834676 0.38523349
61_6 -0.70912270 0.02406324 0.10081269
61_7 -0.29829074 0.00942357 0.38907051
62_1 0.03936374 0.11826672 0.88655594
62_2 -0.51355521 0.00937956 0.32575223
62_3 -0.03166559 0.02793508 0.52284371
62_4 0.16504487 0.01033305 0.43441143
62_5 -0.52655110 0.01359965 0.31699122
62_6 0.10298368 0.01052535 0.34594146
62_7 -0.25619012 0.01585722 0.21092241
